

CreateDynamicObject(3627, 2384.78247, -1745.01050, 16.13700, 0.00000, 0.00000, -90.06000);
CreateDynamicObject(11417, 2353.31396, -1742.33203, 17.00360, 0.00000, 0.00000, -37.50000);
CreateDynamicObject(19379, 2373.97559, -1742.38452, 12.46480, -360.00000, 90.00000, 0.06000);
CreateDynamicObject(19379, 2384.45996, -1742.38452, 12.46480, -360.00000, 90.00000, 0.00000);
CreateDynamicObject(19379, 2394.93652, -1742.38452, 12.46480, -360.00000, 90.00000, 0.00000);
CreateDynamicObject(19379, 2398.51367, -1742.37891, 12.44480, -360.00000, 90.00000, 0.00000);
CreateDynamicObject(983, 2371.99902, -1737.57617, 13.24620, 0.00000, 0.00000, -90.00000);
CreateDynamicObject(983, 2378.40356, -1737.56763, 13.24620, 0.00000, 0.00000, -90.00000);
CreateDynamicObject(983, 2384.77905, -1737.55481, 13.24620, 0.00000, 0.00000, -90.00000);
CreateDynamicObject(983, 2391.16260, -1737.55469, 13.24620, 0.00000, 0.00000, -90.00000);
CreateDynamicObject(983, 2396.96631, -1737.53638, 13.24620, 0.00000, 0.00000, -90.00000);
CreateDynamicObject(983, 2371.90283, -1747.21851, 13.24620, 0.00000, 0.00000, -90.00000);
CreateDynamicObject(983, 2378.30298, -1747.22693, 13.24620, 0.00000, 0.00000, -90.00000);
CreateDynamicObject(983, 2384.70166, -1747.22278, 13.24620, 0.00000, 0.00000, -90.00000);
CreateDynamicObject(983, 2391.09888, -1747.22742, 13.24620, 0.00000, 0.00000, -90.00000);
CreateDynamicObject(983, 2396.99219, -1747.20215, 13.24620, 0.00000, 0.00000, -90.00000);
CreateDynamicObject(983, 2371.97534, -1739.46545, 13.24620, 0.00000, 0.00000, -90.00000);
CreateDynamicObject(983, 2378.36597, -1739.46313, 13.24620, 0.00000, 0.00000, -90.00000);
CreateDynamicObject(983, 2384.76172, -1739.46704, 13.24620, 0.00000, 0.00000, -90.00000);
CreateDynamicObject(983, 2391.17383, -1739.46814, 13.24620, 0.00000, 0.00000, -90.00000);
CreateDynamicObject(983, 2396.97925, -1739.37817, 13.24620, 0.00000, 0.00000, -89.51998);
CreateDynamicObject(983, 2371.93799, -1745.21887, 13.24620, 0.00000, 0.00000, -90.00000);
CreateDynamicObject(983, 2378.33984, -1745.19812, 13.24620, 0.00000, 0.00000, -90.00000);
CreateDynamicObject(983, 2384.75366, -1745.19604, 13.24620, 0.00000, 0.00000, -90.00000);
CreateDynamicObject(983, 2391.13354, -1745.17651, 13.24620, 0.00000, 0.00000, -90.00000);
CreateDynamicObject(983, 2396.97852, -1745.32751, 13.24620, 0.00000, 0.00000, -91.32000);
CreateDynamicObject(1568, 2399.99951, -1746.76587, 12.47050, 0.00000, 0.00000, 0.00000);
CreateDynamicObject(1568, 2399.96094, -1737.95337, 12.47050, 0.00000, 0.00000, 0.00000);
CreateDynamicObject(1568, 2369.01855, -1737.93665, 12.47050, 0.00000, 0.00000, 0.00000);
CreateDynamicObject(1568, 2369.04517, -1746.81018, 12.47050, 0.00000, 0.00000, 0.00000);

