CreateDynamicObject(7971, 606.08289, -1506.82251, 18.80150,   0.00000, 0.00000, 90.00000);
CreateDynamicObject(983, 617.39478, -1520.60852, 14.49580,   0.00000, 0.00000, 0.00000);
CreateDynamicObject(983, 614.19049, -1523.83875, 14.51580,   0.00000, 0.00000, -90.06000);
CreateDynamicObject(983, 617.39148, -1514.21997, 14.53580,   0.00000, 0.00000, 0.00000);
CreateDynamicObject(983, 617.39050, -1507.82202, 14.55580,   0.00000, 0.00000, 0.00000);
CreateDynamicObject(19377, 584.54370, -1485.13489, 19.31300,   0.00000, 0.00000, 1.08000);
CreateDynamicObject(19377, 584.81805, -1531.10535, 19.54290,   0.00000, 0.00000, -90.00000);
CreateDynamicObject(19377, 590.85828, -1519.63538, 19.33300,   0.00000, 0.00000, 1.02000);
CreateDynamicObject(19377, 590.73248, -1510.44104, 19.33300,   0.00000, 0.00000, 0.66000);
CreateDynamicObject(19377, 588.95679, -1501.16443, 19.33300,   0.00000, 0.00000, 21.12000);
CreateDynamicObject(19377, 586.31299, -1494.38220, 19.33300,   0.00000, 0.00000, 21.12000);
CreateDynamicObject(19377, 581.45929, -1496.22620, 24.50600,   0.00000, -90.00000, 21.00000);
CreateDynamicObject(19377, 584.13751, -1503.07300, 24.50600,   0.00000, -90.00000, 21.00000);
CreateDynamicObject(19377, 585.46307, -1510.47375, 24.50600,   0.00000, -90.00000, 1.02000);
CreateDynamicObject(19377, 585.68298, -1519.04578, 24.50600,   0.00000, -90.00000, 1.02000);
CreateDynamicObject(19377, 583.34119, -1526.32239, 24.50600,   0.00000, -90.00000, 1.02000);
CreateDynamicObject(3509, 590.93866, -1494.75391, 14.17080,   0.00000, 0.00000, 0.00000);
CreateDynamicObject(1557, 592.07147, -1523.72925, 14.07010,   0.00000, 0.00000, 0.00000);
CreateDynamicObject(19377, 578.99323, -1481.84106, 19.28290,   0.00000, 0.00000, -68.99997);
CreateDynamicObject(19377, 578.01031, -1487.28320, 24.50600,   0.00000, -90.00000, 21.00000);
CreateDynamicObject(1557, 595.02728, -1523.74658, 14.07010,   0.00000, 0.00000, 179.51990);
CreateDynamicObject(2921, 595.21710, -1523.76160, 17.66687,   0.00000, 0.00000, -94.55998);
CreateDynamicObject(983, 617.53809, -1495.07898, 14.47580,   0.00000, 0.00000, 0.00000);
CreateDynamicObject(19377, 561.85272, -1517.33472, 18.61300,   0.00000, 0.00000, 0.66000);
CreateDynamicObject(19377, 561.75458, -1507.84314, 18.61300,   0.00000, 0.00000, 0.66000);
CreateDynamicObject(19377, 561.61749, -1498.42114, 18.61300,   0.00000, 0.00000, 0.66000);
CreateDynamicObject(19377, 561.52240, -1489.07397, 18.61300,   0.00000, 0.00000, 0.66000);
CreateDynamicObject(1318, 615.63269, -1501.51611, 13.85570,   0.00000, 91.00000, -4.16000);
CreateDynamicObject(1318, 609.13055, -1501.25439, 13.91570,   0.00000, 91.00000, -1.70000);
CreateDynamicObject(1318, 605.74969, -1506.45801, 13.91570,   0.00000, 91.00000, 89.92000);
CreateDynamicObject(1318, 605.32288, -1514.69263, 13.91570,   0.00000, 91.00000, 89.92000);
CreateDynamicObject(19377, 617.18433, -1491.93774, 10.26290,   0.00000, 0.00000, -90.00000);
CreateDynamicObject(19377, 607.83197, -1491.94873, 10.26290,   0.00000, 0.00000, -90.00000);
CreateDynamicObject(19377, 617.18433, -1492.09766, 10.26290,   0.00000, 0.00000, -90.00000);
CreateDynamicObject(19377, 607.56427, -1492.09766, 10.26290,   0.00000, 0.00000, -90.00000);
